INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	SMILES	QSAR_READY_SMILES
36014-72-9	CAS-RN	DTXSID00189581	4-Benzimidazolesulfonamide, N,N-dimethyl-5,6,7-trichloro-2-(trifluoromethyl)-	CN(C)S(=O)(=O)C1=C(Cl)C(Cl)=C(Cl)C2=C1N=C(N2)C(F)(F)F	CN(C)S(=O)(=O)C1=C(Cl)C(Cl)=C(Cl)C2=C1N=C(N2)C(F)(F)F
36014-99-0	CAS-RN	DTXSID60189582	4-Benzimidazolesulfonic acid, 5,6,7-trichloro-2-(trifluoromethyl)-	OS(=O)(=O)C1=C(Cl)C(Cl)=C(Cl)C2=C1N=C(N2)C(F)(F)F	OS(=O)(=O)C1=C(Cl)C(Cl)=C(Cl)C2=C1N=C(N2)C(F)(F)F
3604-99-7	CAS-RN	DTXSID60189603	1-Naphthylamine, 5,8-dichloro-	NC1=CC=CC2=C(Cl)C=CC(Cl)=C12	NC1=CC=CC2=C(Cl)C=CC(Cl)=C12
3605-31-0	CAS-RN	DTXSID8063098	1H-Indene, 6-(1,1-dimethylethyl)-2,3-dihydro-1,1-dimethyl-	CC(C)(C)C1=CC2=C(CCC2(C)C)C=C1	CC(C)(C)C1=CC2=C(CCC2(C)C)C=C1
36061-95-7	NO_MATCH	-	-	-	-
36085-73-1	CAS-RN	DTXSID20189669	Talipexole dihydrochloride	Cl.Cl.NC1=NC2=C(CCN(CC=C)CC2)S1	NC1=NC2=C(CCN(CC=C)CC2)S1
36088-22-9	CAS-RN	DTXSID101019734	Pentachlorodibenzodioxin	-	-
361-37-5	CAS-RN	DTXSID2023307	Methysergide	[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO	CCC(CO)NC(=O)C1CN(C)C2CC3=CN(C)C4=CC=CC(=C34)C2=C1
3610-27-3	CAS-RN	DTXSID60863219	Ethanol, 2-[2-(2-methoxyethoxy)ethoxy]-, 1-acetate	COCCOCCOCCOC(C)=O	COCCOCCOCCOC(C)=O
36104-80-0	CAS-RN	DTXSID50865803	Camazepam	CN(C)C(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2N(C)C1=O	CN(C)C(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2N(C)C1=O
36105-20-1	CAS-RN	DTXSID40189686	Flurazepam monohydrochloride	Cl.CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F	CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=C(F)C=CC=C1
36117-76-7	CAS-RN	DTXSID10957536	2',3',4,4',5,5',6,6'-Octachloro[1,1'-biphenyl]-2,3-diol	OC1=C(Cl)C(Cl)=C(Cl)C(=C1O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl	OC1=C(Cl)C(Cl)=C(Cl)C(=C1O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
36120-57-7	NO_MATCH	-	-	-	-
361366-16-7	CAS-RN	DTXSID30905059	Ethyl 1-[2-(2,4-dichlorophenyl)acetoxy]cyclohexanecarboxylate	CCOC(=O)C1(CCCCC1)OC(=O)CC1=C(Cl)C=C(Cl)C=C1	CCOC(=O)C1(CCCCC1)OC(=O)CC1=C(Cl)C=C(Cl)C=C1
361377-29-9	CAS-RN	DTXSID2034625	Fluoxastrobin	CO\N=C(\C1=NOCCO1)C1=C(OC2=NC=NC(OC3=CC=CC=C3Cl)=C2F)C=CC=C1	CON=C(C1=NOCCO1)C1=C(OC2=C(F)C(OC3=C(Cl)C=CC=C3)=NC=N2)C=CC=C1
3614-30-0	CAS-RN	DTXSID50875265	Emepronium Bromide	[Br-].CC[N+](C)(C)C(C)CC(C1=CC=CC=C1)C1=CC=CC=C1	CC[N+](C)(C)C(C)CC(C1=CC=CC=C1)C1=CC=CC=C1
3614-69-5	NO_MATCH	-	-	-	-
36146-44-8	NO_MATCH	-	-	-	-
3615-21-2	CAS-RN	DTXSID0041773	Chlorflurazole	FC(F)(F)C1=NC2=C(N1)C=CC(Cl)=C2Cl	FC(F)(F)C1=NC2=C(N1)C=CC(Cl)=C2Cl
3615-74-5	CAS-RN	DTXSID80189721	Promolate	CC(C)(OC1=CC=CC=C1)C(=O)OCCN1CCOCC1	CC(C)(OC1=CC=CC=C1)C(=O)OCCN1CCOCC1
36167-63-2	CAS-RN	DTXSID0045464	Halofantrine hydrochloride	Cl.CCCCN(CCCC)CCC(O)C1=CC2=C(C=C(Cl)C=C2Cl)C2=CC(=CC=C12)C(F)(F)F	CCCCN(CCCC)CCC(O)C1=CC2=C(C=C(Cl)C=C2Cl)C2=C1C=CC(=C2)C(F)(F)F
36173-94-1	CAS-RN	DTXSID80189741	1H-Indazole, 4,5,6,7-tetrahydro-3-(2-(4-morpholinyl)ethoxy)-	C(CN1CCOCC1)OC1=NNC2=C1CCCC2	C(CN1CCOCC1)OC1=NNC2=C1CCCC2
36175-10-7	CAS-RN	DTXSID00957585	Sodium 4-{[4-(acetyloxy)phenyl](pyridin-2-yl)methyl}phenyl sulfate	[Na+].CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS([O-])(=O)=O)C=C1)C1=CC=CC=N1	CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS(O)(=O)=O)C=C1)C1=NC=CC=C1
36177-92-1	CAS-RN	DTXSID7044926	N-Butyl-2,2,6,6-tetramethylpiperidin-4-amine	CCCCNC1CC(C)(C)NC(C)(C)C1	CCCCNC1CC(C)(C)NC(C)(C)C1
3618-72-2	CAS-RN	DTXSID8027539	C.I. Disperse Blue 79:1	COC1=CC(N=NC2=C(Br)C=C(C=C2[N+]([O-])=O)[N+]([O-])=O)=C(NC(C)=O)C=C1N(CCOC(C)=O)CCOC(C)=O	COC1=CC(N=NC2=C(Br)C=C(C=C2[N+]([O-])=O)[N+]([O-])=O)=C(NC(C)=O)C=C1N(CCOC(C)=O)CCOC(C)=O
3622-84-2	CAS-RN	DTXSID7027540	N-Butylbenzenesulfonamide	CCCCNS(=O)(=O)C1=CC=CC=C1	CCCCNS(=O)(=O)C1=CC=CC=C1
3626-56-0	CAS-RN	DTXSID90957650	2-(Morpholin-4-yl)propanenitrile	CC(C#N)N1CCOCC1	CC(C#N)N1CCOCC1
363-24-6	CAS-RN	DTXSID4022947	Dinoprostone	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(O)=O
363-72-4	CAS-RN	DTXSID8059893	Pentafluorobenzene	FC1=CC(F)=C(F)C(F)=C1F	FC1=CC(F)=C(F)C(F)=C1F
363-97-3	CAS-RN	DTXSID00189844	Fluorothion	COP(=S)(OC)OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F	COP(=S)(OC)OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
36304-84-4	CAS-RN	DTXSID4048723	Dimemorfan phosphate	OP(O)(O)=O.CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC1=C3C=C(C)C=C1	[H]C12CC3=C(C=C(C)C=C3)C3(CCCCC13)CCN2C
36306-87-3	CAS-RN	DTXSID6052039	4-(1-Ethoxyethenyl)-3,3,5,5-tetramethylcyclohexanone	CCOC(=C)C1C(C)(C)CC(=O)CC1(C)C	CCOC(=C)C1C(C)(C)CC(=O)CC1(C)C
36322-90-4	CAS-RN	DTXSID5021170	Piroxicam	CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O	CN1C(C(=O)NC2=NC=CC=C2)C(=O)C2=C(C=CC=C2)S1(=O)=O
36329-36-9	CAS-RN	DTXSID00189869	1-Piperazineacetic acid, 2-(5-nitrofurfurylidene)hydrazide	[O-][N+](=O)C1=CC=C(O1)\C=N\NC(=O)CN1CCNCC1	[O-][N+](=O)C1=CC=C(CN=NC(=O)CN2CCNCC2)O1
36330-85-5	CAS-RN	DTXSID9023043	Fenbufen	OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1	OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1
36335-67-8	CAS-RN	DTXSID5058068	Butamiphos	CCOP(=S)(NC(C)CC)OC1=C(C=CC(C)=C1)[N+]([O-])=O	CCOP(=S)(NC(C)CC)OC1=C(C=CC(C)=C1)[N+]([O-])=O
3634-83-1	CAS-RN	DTXSID5038919	1,3-Bis(isocyanatomethyl)benzene	O=C=NCC1=CC(CN=C=O)=CC=C1	O=C=NCC1=CC(CN=C=O)=CC=C1
36350-95-5	CAS-RN	DTXSID20189881	2,8,9-Trioxa-5-aza-1-silabicyclo(3.3.3)undecane, phenylaminomethyl-	C(NC1=CC=CC=C1)[Si]12OCCN(CCO1)CCO2	C(NC1=CC=CC=C1)[Si]12OCCN(CCO1)CCO2
36364-49-5	CAS-RN	DTXSID80189887	Imidazole salicylate	N1C=CN=C1.OC(=O)C1=CC=CC=C1O	OC(=O)C1=C(O)C=CC=C1
36366-93-5	CAS-RN	DTXSID3041295	2-(2-(2-(2-Phenoxyethoxy)ethoxy)ethoxy)ethanol	OCCOCCOCCOCCOC1=CC=CC=C1	OCCOCCOCCOCCOC1=CC=CC=C1
364-62-5	CAS-RN	DTXSID6045169	Metoclopramide	CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC	CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
364-76-1	CAS-RN	DTXSID5052042	4-Fluoro-3-nitroaniline	NC1=CC(=C(F)C=C1)[N+]([O-])=O	NC1=CC(=C(F)C=C1)[N+]([O-])=O
364-98-7	CAS-RN	DTXSID7022914	Diazoxide	CC1=NC2=CC=C(Cl)C=C2S(=O)(=O)N1	CC1=NC2=CC=C(Cl)C=C2S(=O)(=O)N1
3641-49-4	CAS-RN	DTXSID70957759	3-Carboxytyrosine	[H][C@](N)(CC1=CC(C(O)=O)=C(O)C=C1)C(O)=O	NC(Cc1ccc(O)c(c1)C(O)=O)C(O)=O
3641-50-7	CAS-RN	DTXSID80957760	3-Carboxy-O-methyltyrosine	COC1=C(C=C(CC(N)C(O)=O)C=C1)C(O)=O	COC1=C(C=C(CC(N)C(O)=O)C=C1)C(O)=O
36417-16-0	CAS-RN	DTXSID60877371	2-OH NAPHTHOQUINONE,3(33DICLALLYL)	OC1=C(CC=C(Cl)Cl)C(=O)C2=CC=CC=C2C1=O	ClC(Cl)=CCC1C(=O)C(=O)C2=C(C=CC=C2)C1=O
36432-46-9	CAS-RN	DTXSID40885651	Phosphonic acid, ditridecyl ester	CCCCCCCCCCCCCOP(=O)OCCCCCCCCCCCCC	CCCCCCCCCCCCCOP(=O)OCCCCCCCCCCCCC
3644-61-9	CAS-RN	DTXSID2045868	Tolperisone hydrochloride	Cl.CC(CN1CCCCC1)C(=O)C1=CC=C(C)C=C1	CC(CN1CCCCC1)C(=O)C1=CC=C(C)C=C1
36443-68-2	CAS-RN	DTXSID0044236	Triethylene glycol bis(3-tert-butyl-4-hydroxy-5-methylphenyl)propionate	CC1=CC(CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(C)=C(O)C(=C2)C(C)(C)C)=CC(=C1O)C(C)(C)C	CC1=CC(CCC(=O)OCCOCCOCCOC(=O)CCC2=CC(C)=C(O)C(=C2)C(C)(C)C)=CC(=C1O)C(C)(C)C
36476-78-5	CAS-RN	DTXSID1041479	3-Azetidinecarboxylic acid	OC(=O)C1CNC1	OC(=O)C1CNC1
3648-20-2	CAS-RN	DTXSID7025215	Diundecyl phthalate	CCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC	CCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC
3648-36-0	CAS-RN	DTXSID80884002	3H-Indolium, 2-[2-[4-[(2-chloroethyl)methylamino]phenyl]ethenyl]-1,3,3-trimethyl-, chloride (1:1)	[Cl-].CN(CCCl)C1=CC=C(C=CC2=[N+](C)C3=C(C=CC=C3)C2(C)C)C=C1	CN(CCCl)C1=CC=C(C=CC2=[N+](C)C3=CC=CC=C3C2(C)C)C=C1
36483-57-5	CAS-RN	DTXSID40893054	Tribromoneopentyl alcohol	-	-
36504-64-0	CAS-RN	DTXSID30190004	Nictindole	CC(C)C1=C(C(=O)C2=CN=CC=C2)C2=CC=CC=C2N1	CC(C)C1=C(C(=O)C2=CN=CC=C2)C2=CC=CC=C2N1
36505-82-5	NO_MATCH	-	-	-	-
36518-74-8	CAS-RN	DTXSID50957818	1,2,3,4,5-Pentachloro-6-propoxybenzene	CCCOC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl	CCCOC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
36519-00-3	CAS-RN	DTXSID0058069	Phosdiphen	CCOP(=O)(OC1=C(Cl)C=C(Cl)C=C1)OC1=C(Cl)C=C(Cl)C=C1	CCOP(=O)(OC1=C(Cl)C=C(Cl)C=C1)OC1=C(Cl)C=C(Cl)C=C1
3653-48-3	CAS-RN	DTXSID2034700	MCPA-sodium	[Na+].CC1=C(OCC([O-])=O)C=CC(Cl)=C1	CC1=C(OCC(O)=O)C=CC(Cl)=C1
365400-11-9	CAS-RN	DTXSID2044343	Pyrasulfotole	CN1N=C(C)C(C(O)C2=C(C=C(C=C2)C(F)(F)F)S(C)(=O)=O)=C1O	CN1N=C(C)C(C(O)C2=C(C=C(C=C2)C(F)(F)F)S(C)(=O)=O)=C1O
365411-50-3	CAS-RN	DTXSID80889173	Indeno[4,5-d]-1,3-dioxin, 4,4a,5,6,7,8,9,9b-octahydro-7,7,8,9,9-pentamethyl-	CC1C(C)(C)C2=C(C3OCOCC3CC2)C1(C)C	CC1C(C)(C)C2=C(C3OCOCC3CC2)C1(C)C
3655-88-7	CAS-RN	DTXSID50190046	4H,6H-1,3,5-Thiadiazineacetic acid, 5-methyl-6-thioxo-	CN1CN(CC(O)=O)CSC1=S	CN1CN(CC(O)=O)CSC1=S
36556-75-9	CAS-RN	DTXSID60957844	8-[3-(tert-Butylamino)-2-hydroxypropoxy]-5-methyl-2H-1-benzopyran-2-one--hydrogen chloride (1/1)	Cl.CC1=C2C=CC(=O)OC2=C(OCC(O)CNC(C)(C)C)C=C1	CC1=CC=C(OCC(O)CNC(C)(C)C)C2=C1C=CC(=O)O2
36576-44-0	CAS-RN	DTXSID00190071	Alanine, N-(6-(ethylamino)-1,4-dihydro-4-oxo-1,3,5-triazin-2-yl)-2-methyl-	CCNC1=NC(=O)N=C(NC(C)(C)C(O)=O)N1	CCNC1=NC(=O)N=C(NC(C)(C)C(O)=O)N1
3658-48-8	CAS-RN	DTXSID2044927	Bis(2-ethylhexyl) phosphonate	CCCCC(CC)COP(=O)OCC(CC)CCCC	CCCCC(CC)COP(=O)OCC(CC)CCCC
3659-04-9	CAS-RN	DTXSID60957864	O,O-Diethyl S-(2-oxooxolan-3-yl) phosphorodithioate	CCOP(=S)(OCC)SC1CCOC1=O	CCOP(=S)(OCC)SC1CCOC1=O
36597-90-7	CAS-RN	DTXSID00957868	1,2,2,2-Tetrachloroethyl butanoate	CCCC(=O)OC(Cl)C(Cl)(Cl)Cl	CCCC(=O)OC(Cl)C(Cl)(Cl)Cl
366-18-7	CAS-RN	DTXSID9040635	2,2'-Bipyridine	C1=CC=C(N=C1)C1=CC=CC=N1	C1=CC=C(N=C1)C1=CC=CC=N1
366-70-1	CAS-RN	DTXSID3021190	Procarbazine hydrochloride	Cl.CNNCC1=CC=C(C=C1)C(=O)NC(C)C	CNNCC1=CC=C(C=C1)C(=O)NC(C)C
36614-38-7	CAS-RN	DTXSID9058070	Isothioate	COP(=S)(OC)SCCSC(C)C	COP(=S)(OC)SCCSC(C)C
36616-49-6	CAS-RN	DTXSID80957881	1-Methylpiperidin-3-yl hydroxy(phenyl)(thiophen-2-yl)acetate--hydrogen chloride (1/1)	Cl.CN1CCCC(C1)OC(=O)C(O)(C1=CC=CS1)C1=CC=CC=C1	CN1CCCC(C1)OC(=O)C(O)(C1=CC=CS1)C1=CC=CC=C1
36643-74-0	NO_MATCH	-	-	-	-
36653-82-4	CAS-RN	DTXSID4027991	1-Hexadecanol	CCCCCCCCCCCCCCCCO	CCCCCCCCCCCCCCCCO
3669-32-7	NO_MATCH	-	-	-	-
367-25-9	CAS-RN	DTXSID6025064	2,4-Difluoroaniline	NC1=CC=C(F)C=C1F	NC1=CC=C(F)C=C1F
367-51-1	CAS-RN	DTXSID3026142	Sodium thioglycolate	[Na+].[O-]C(=O)CS	OC(=O)CS
36702-44-0	CAS-RN	DTXSID1020853	S(+)-2-Methyl-N-nitrosopiperidine	C[C@H]1CCCCN1N=O	CC1CCCCN1N=O
3671-00-9	NO_MATCH	-	-	-	-
3671-18-9	CAS-RN	DTXSID10190168	Benzimidazole, 6-chloro-4-nitro-2-(trifluoromethyl)-	[O-][N+](=O)C1=CC(Cl)=CC2=C1N=C(N2)C(F)(F)F	[O-][N+](=O)C1=CC(Cl)=CC2=C1N=C(N2)C(F)(F)F
3671-47-4	CAS-RN	DTXSID70190169	Benzimidazole, 5-fluoro-2-(trifluoromethyl)-	FC1=CC2=C(C=C1)N=C(N2)C(F)(F)F	FC1=CC2=C(C=C1)N=C(N2)C(F)(F)F
3671-60-1	CAS-RN	DTXSID80190170	Benzimidazole, 5-bromo-2-(trifluoromethyl)-	FC(F)(F)C1=NC2=C(N1)C=C(Br)C=C2	FC(F)(F)C1=NC2=C(N1)C=C(Br)C=C2
3671-61-2	CAS-RN	DTXSID40190171	Benzimidazole-5-carbonitrile, 2-(trifluoromethyl)-	FC(F)(F)C1=NC2=C(N1)C=C(C=C2)C#N	FC(F)(F)C1=NC2=C(N1)C=C(C=C2)C#N
3671-66-7	CAS-RN	DTXSID00190172	Benzimidazole, 5-amino-2-(trifluoromethyl)-	NC1=CC2=C(C=C1)N=C(N2)C(F)(F)F	NC1=CC2=C(C=C1)N=C(N2)C(F)(F)F
3671-67-8	CAS-RN	DTXSID60190173	Benzimidazole, 5-tert-butyl-2-(trifluoromethyl)-	CC(C)(C)C1=CC2=C(C=C1)N=C(N2)C(F)(F)F	CC(C)(C)C1=CC2=C(C=C1)N=C(N2)C(F)(F)F
36734-19-7	CAS-RN	DTXSID3024154	Iprodione	CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1	CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1
36735-22-5	CAS-RN	DTXSID60190193	Quazepam	FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2	FC1=CC=CC=C1C1=NCC(=S)N(CC(F)(F)F)C2=C1C=C(Cl)C=C2
3674-13-3	CAS-RN	DTXSID80871038	Propanoic acid, 2,3-dibromo-, ethyl ester	CCOC(=O)C(Br)CBr	CCOC(=O)C(Br)CBr
36756-79-3	CAS-RN	DTXSID6034425	Tiocarbazil	CCC(C)N(C(C)CC)C(=O)SCC1=CC=CC=C1	CCC(C)N(C(C)CC)C(=O)SCC1=CC=CC=C1
36768-62-4	CAS-RN	DTXSID3044388	2,2,6,6-Tetramethylpiperidin-4-amine	CC1(C)CC(N)CC(C)(C)N1	CC1(C)CC(N)CC(C)(C)N1
36791-04-5	CAS-RN	DTXSID8023557	Ribavirin	NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	NC(=O)C1=NN(C=N1)C1OC(CO)C(O)C1O
36798-79-5	NO_MATCH	-	-	-	-
368-47-8	CAS-RN	DTXSID90190267	Silane, phenyltrifluoro-	F[Si](F)(F)C1=CC=CC=C1	F[Si](F)(F)C1=CC=CC=C1
368-53-6	CAS-RN	DTXSID4073170	1,3-Benzeneamine, 5-[(trifluoromethyl)-	NC1=CC(=CC(N)=C1)C(F)(F)F	NC1=CC(=CC(N)=C1)C(F)(F)F
3680-02-2	CAS-RN	DTXSID1031628	Methyl vinyl sulfone	CS(=O)(=O)C=C	CS(=O)(=O)C=C
3680-05-5	CAS-RN	DTXSID20958014	2-(Methanesulfinyl)-2-methylpropanoic acid	CS(=O)C(C)(C)C(O)=O	CS(=O)C(C)(C)C(O)=O
3681-71-8	CAS-RN	DTXSID0041484	(3Z)-3-Hexenyl acetate	CC\C=C/CCOC(C)=O	CCC=CCCOC(C)=O
3683-12-3	CAS-RN	DTXSID7063134	2-Phenylethyl methacrylate	CC(=C)C(=O)OCCC1=CC=CC=C1	CC(=C)C(=O)OCCC1=CC=CC=C1
3684-97-7	CAS-RN	DTXSID30190302	Acetonitrile, 2(N-methyl-N-nitroso)amino-	CN(CC#N)N=O	CN(CC#N)N=O
3685-84-5	CAS-RN	DTXSID8045141	Meclofenoxate hydrochloride	Cl.CN(C)CCOC(=O)COC1=CC=C(Cl)C=C1	CN(C)CCOC(=O)COC1=CC=C(Cl)C=C1
3687-13-6	CAS-RN	DTXSID20190351	Phenol, 2,4-dichloro-, methanesulfonate	CS(=O)(=O)OC1=C(Cl)C=C(Cl)C=C1	CS(=O)(=O)OC1=C(Cl)C=C(Cl)C=C1
3687-16-9	CAS-RN	DTXSID90958066	N~1~,N~3~-Bis(2-ethylhexyl)-2-methylpropane-1,2,3-triamine	CCCCC(CC)CNCC(C)(N)CNCC(CC)CCCC	CCCCC(CC)CNCC(C)(N)CNCC(CC)CCCC
3688-08-2	CAS-RN	DTXSID20190356	Ethylenebis(isothiocyanate)	S=C=NCCN=C=S	S=C=NCCN=C=S
3688-53-7	CAS-RN	DTXSID9020033	AF-2	NC(=O)C(=C/C1=CC=C(O1)[N+]([O-])=O)\C1=CC=CO1	NC(=O)C(=CC1=CC=C(O1)[N+]([O-])=O)C1=CC=CO1
3688-65-1	CAS-RN	DTXSID00190359	Codeine N-oxide	COC1=C2O[C@H]3[C@@H](O)C=C[C@H]4[C@H]5CC(C=C1)=C2[C@@]34CC[N@+]5(C)[O-]	[H]C12CC3=C4C(OC5C(O)C=CC1C45CC[N+]2(C)[O-])=C(OC)C=C3
3688-66-2	CAS-RN	DTXSID10190360	Nicocodeine	COC1=C2O[C@H]3[C@@H](OC(=O)C4=CN=CC=C4)C=C[C@H]4[C@H]5CC(C=C1)=C2[C@@]34CCN5C	[H]C12CC3=C4C(OC5C(OC(=O)C6=CC=CN=C6)C=CC1C45CCN2C)=C(OC)C=C3
3688-85-5	CAS-RN	DTXSID30190362	Diapamide	CNC(=O)C1=CC(=C(Cl)C=C1)S(=O)(=O)NC	CNC(=O)C1=CC(=C(Cl)C=C1)S(=O)(=O)NC
36888-99-0	CAS-RN	DTXSID7068007	2,4,6(1H,3H,5H)-Pyrimidinetrione, 5,5'-(1H-isoindole-1,3(2H)-diylidene)bis-	O=C1NC(=O)C(=C2NC(C3=CC=CC=C23)=C2C(=O)NC(=O)NC2=O)C(=O)N1	O=C1NC(=O)C(C2=NC(C3=CC=CC=C23)=C2C(=O)NC(=O)NC2=O)C(=O)N1
3689-24-5	CAS-RN	DTXSID7024328	Sulfotepp	CCOP(=S)(OCC)OP(=S)(OCC)OCC	CCOP(=S)(OCC)OP(=S)(OCC)OCC
36894-69-6	CAS-RN	DTXSID2023191	Labetalol	CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O	CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O
3690-28-6	CAS-RN	DTXSID30958101	Ethyl [(dimethoxyphosphoryl)sulfanyl](phenyl)acetate	CCOC(=O)C(SP(=O)(OC)OC)C1=CC=CC=C1	CCOC(=O)C(SP(=O)(OC)OC)C1=CC=CC=C1
3691-35-8	CAS-RN	DTXSID2032348	Chlorophacinone	ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1	ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1
3691-78-9	CAS-RN	DTXSID50190389	Benzethidine [INN:BAN:DCF]	CCOC(=O)C1(CCN(CCOCC2=CC=CC=C2)CC1)C1=CC=CC=C1	CCOC(=O)C1(CCN(CCOCC2=CC=CC=C2)CC1)C1=CC=CC=C1
3692-18-0	CAS-RN	DTXSID00190410	Urea, (1-methylcyclohexyl)-	CC1(CCCCC1)NC(N)=O	CC1(CCCCC1)NC(N)=O
3692-87-3	CAS-RN	DTXSID80190413	De-N-methyldimethoate	COP(=S)(OC)SCC(N)=O	COP(=S)(OC)SCC(N)=O
3692-90-8	CAS-RN	DTXSID40958117	3-[(Prop-2-yn-1-yl)oxy]phenyl hydrogen methylcarbonimidate	CN=C(O)OC1=CC=CC(OCC#C)=C1	CN=C(O)OC1=CC=CC(OCC#C)=C1
36951-85-6	CAS-RN	DTXSID40958132	6-(3,4-Dichlorophenyl)-2,3,4,6-tetrahydropyrimido[2,1-a]isoindol-6-ol	OC1(N2CCCN=C2C2=CC=CC=C12)C1=CC(Cl)=C(Cl)C=C1	OC1(N2CCCN=C2C2=CC=CC=C12)C1=CC(Cl)=C(Cl)C=C1
3696-23-9	CAS-RN	DTXSID00190455	Thourea, (4-chlorophenyl)- (9CI)	NC(=S)NC1=CC=C(Cl)C=C1	NC(=S)NC1=CC=C(Cl)C=C1
36968-27-1	CAS-RN	DTXSID6068014	4-((4-(Aminocarbonyl)phenyl)azo)-3-hydroxy-N-(2-methoxyphenyl)naphthalene-2-carboxamide	COC1=C(NC(=O)C2=C(O)C(N=NC3=CC=C(C=C3)C(N)=O)=C3C=CC=CC3=C2)C=CC=C1	COC1=C(NC(=O)C2=C(O)C(N=NC3=CC=C(C=C3)C(N)=O)=C3C=CC=CC3=C2)C=CC=C1
36981-93-8	CAS-RN	DTXSID40958152	5,5-Dimethyl-2-phenylmorpholine--hydrogen chloride (1/1)	Cl.CC1(C)COC(CN1)C1=CC=CC=C1	CC1(C)COC(CN1)C1=CC=CC=C1
3700-89-8	CAS-RN	DTXSID20274246	O,O-Dimethyl malathion	COC(=O)CC(SP(=S)(OC)OC)C(=O)OC	COC(=O)CC(SP(=S)(OC)OC)C(=O)OC
3700-90-1	CAS-RN	DTXSID60958174	Dipropan-2-yl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate	COP(=S)(OC)SC(CC(=O)OC(C)C)C(=O)OC(C)C	COP(=S)(OC)SC(CC(=O)OC(C)C)C(=O)OC(C)C
3700-91-2	CAS-RN	DTXSID20958175	Dipropyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate	CCCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCCC	CCCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCCC
3700-96-7	CAS-RN	DTXSID80958176	Dipropan-2-yl 2-[(dimethoxyphosphoryl)sulfanyl]butanedioate	COP(=O)(OC)SC(CC(=O)OC(C)C)C(=O)OC(C)C	COP(=O)(OC)SC(CC(=O)OC(C)C)C(=O)OC(C)C
3700-97-8	CAS-RN	DTXSID40958177	Dipropyl 2-[(dimethoxyphosphoryl)sulfanyl]butanedioate	CCCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCCC	CCCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCCC
3700-98-9	CAS-RN	DTXSID00958178	Dibutyl 2-[(dimethoxyphosphoryl)sulfanyl]butanedioate	CCCCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCCCC	CCCCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCCCC
